year,area_code,area,count
2005,13101,Tokyo-to Chiyoda-ku,111.0
2006,13101,Tokyo-to Chiyoda-ku,165.0
2007,13101,Tokyo-to Chiyoda-ku,133.0
2008,13101,Tokyo-to Chiyoda-ku,122.0
2009,13101,Tokyo-to Chiyoda-ku,129.0
2010,13101,Tokyo-to Chiyoda-ku,157.0
2011,13101,Tokyo-to Chiyoda-ku,164.0
2012,13101,Tokyo-to Chiyoda-ku,196.0
2013,13101,Tokyo-to Chiyoda-ku,322.0
2014,13101,Tokyo-to Chiyoda-ku,236.0
2015,13101,Tokyo-to Chiyoda-ku,263.0
2016,13101,Tokyo-to Chiyoda-ku,295.0
2017,13101,Tokyo-to Chiyoda-ku,296.0
2018,13101,Tokyo-to Chiyoda-ku,277.0
2019,13101,Tokyo-to Chiyoda-ku,239.0
2020,13101,Tokyo-to Chiyoda-ku,259.0
2021,13101,Tokyo-to Chiyoda-ku,271.0
2022,13101,Tokyo-to Chiyoda-ku,292.0
